Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,36018.488281,36140.671875,35952.410156,36063.808594,36063.808594,16700
2019-03-05,36141.070313,36457.441406,35926.941406,36442.539063,36442.539063,21200
2019-03-06,36544.859375,36666.468750,36456.820313,36636.101563,36636.101563,15900
2019-03-07,36744.019531,36830.250000,36590.878906,36725.421875,36725.421875,16800
2019-03-08,36753.589844,36753.589844,36592.929688,36671.429688,36671.429688,14600
2019-03-11,36741.570313,37106.191406,36726.390625,37054.101563,37054.101563,14400
2019-03-12,37249.648438,37586.628906,37230.851563,37535.660156,37535.660156,19500
2019-03-13,37608.289063,37797.289063,37478.871094,37752.171875,37752.171875,21000
2019-03-14,37840.640625,37907.781250,37693.691406,37754.890625,37754.890625,15600
2019-03-15,37760.230469,38254.769531,37760.230469,38024.320313,38024.320313,16300
2019-03-18,38132.960938,38369.589844,37952.101563,38095.070313,38095.070313,15900
2019-03-19,38218.589844,38396.058594,38078.230469,38363.468750,38363.468750,15100
2019-03-20,38433.859375,38489.808594,38316.210938,38386.750000,38386.750000,15600
2019-03-22,38452.468750,38564.710938,38089.359375,38164.609375,38164.609375,18200
2019-03-25,38016.761719,38016.761719,37667.398438,37808.910156,37808.910156,17000
2019-03-26,37886.289063,38297.699219,37800.078125,38233.410156,38233.410156,14600
2019-03-27,38372.031250,38475.929688,38001.339844,38132.878906,38132.878906,18800
2019-03-28,38208.300781,38593.648438,38148.441406,38545.718750,38545.718750,16000
2019-04-01,38858.878906,39115.570313,38808.738281,38871.871094,38871.871094,19800
2019-04-02,38988.570313,39121.691406,38846.960938,39056.648438,39056.648438,19700
2019-04-03,39167.050781,39270.140625,38826.558594,38877.121094,38877.121094,17000
2019-04-04,38935.750000,38939.351563,38581.039063,38684.718750,38684.718750,13000
2019-04-05,38839.519531,38958.601563,38701.039063,38862.230469,38862.230469,15900
2019-04-08,38993.601563,39041.250000,38520.960938,38700.531250,38700.531250,10500
2019-04-09,38730.929688,38978.988281,38598.718750,38939.218750,38939.218750,15100
2019-04-10,38898.601563,38950.449219,38542.281250,38585.351563,38585.351563,16200
2019-04-11,38621.578125,38649.980469,38460.250000,38607.011719,38607.011719,14500
2019-04-12,38692.058594,38818.871094,38554.789063,38767.109375,38767.109375,17000
2019-04-15,38805.539063,38976.578125,38780.078125,38905.839844,38905.839844,20900
2019-04-16,39040.300781,39364.339844,39038.808594,39275.640625,39275.640625,14400
2019-04-18,39420.039063,39487.449219,39083.160156,39140.281250,39140.281250,14600
2019-04-22,39158.218750,39158.218750,38585.648438,38645.179688,38645.179688,14900
2019-04-23,38771.269531,38832.609375,38518.261719,38564.878906,38564.878906,11600
2019-04-24,38672.628906,39095.351563,38571.000000,39054.679688,39054.679688,15200
2019-04-25,39101.781250,39262.218750,38663.980469,38730.859375,38730.859375,14400
2019-04-26,38865.828125,39103.160156,38765.328125,39067.328125,39067.328125,17300
2019-04-30,39056.921875,39105.878906,38753.460938,39031.550781,39031.550781,30900
2019-05-02,39036.511719,39189.949219,38882.988281,38981.429688,38981.429688,26200
2019-05-03,39009.550781,39172.761719,38920.171875,38963.261719,38963.261719,14800
2019-05-06,38719.328125,38719.328125,38509.789063,38600.339844,38600.339844,13400
2019-05-07,38815.460938,38835.539063,38236.179688,38276.628906,38276.628906,15600
2019-05-08,38244.179688,38248.570313,37743.070313,37789.128906,37789.128906,13100
2019-05-09,37747.910156,37780.460938,37405.398438,37558.910156,37558.910156,15300
2019-05-10,37632.359375,37721.980469,37370.390625,37462.988281,37462.988281,19700
2019-05-13,37491.300781,37583.570313,36999.839844,37090.820313,37090.820313,17800
2019-05-14,37146.578125,37572.699219,36956.101563,37318.531250,37318.531250,17700
2019-05-15,37539.050781,37559.671875,37047.871094,37114.878906,37114.878906,19400
2019-05-16,37179.128906,37518.941406,37052.300781,37393.480469,37393.480469,15700
2019-05-17,37494.421875,38001.128906,37415.359375,37930.769531,37930.769531,18800
